image_filename,destination_name,source_url,license,date_downloaded,downloaded_by
udawalawe_national_park_1.jpg,Udawalawe National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Dead_Wood_in_the_Udawalawe_National_Park.jpg/960px-Dead_Wood_in_the_Udawalawe_National_Park.jpg,,,
wilpattu_national_park_1.jpg,Wilpattu National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Sambar_Deer_at_Wilpattu_National_Park.jpg/960px-Sambar_Deer_at_Wilpattu_National_Park.jpg,,,
minneriya_national_park_1.jpg,Minneriya National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Elephants_of_Minneriya_National_Park%2C_Sri_Lanka.jpg/960px-Elephants_of_Minneriya_National_Park%2C_Sri_Lanka.jpg,,,
kaudulla_national_park_1.jpg,Kaudulla National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Water_hole_at_Kaudulla_national_park%2C_Sri_Lanka.jpg/960px-Water_hole_at_Kaudulla_national_park%2C_Sri_Lanka.jpg,,,
horton_plains_national_park_1.jpg,Horton Plains National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Horton_Plains_River.jpg/960px-Horton_Plains_River.jpg,,,
bundala_national_park_1.jpg,Bundala National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Bundala_National_Park.jpg/960px-Bundala_National_Park.jpg,,,
kumana_national_park_1.jpg,Kumana National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Wet_Lands_of_Kumana_National_Park.jpg/960px-Wet_Lands_of_Kumana_National_Park.jpg,,,
wasgamuwa_national_park_1.jpg,Wasgamuwa National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/WasgamuwaNationalPark-September2014_%281%29.JPG/960px-WasgamuwaNationalPark-September2014_%281%29.JPG,,,
maduru_oya_national_park_1.jpg,Maduru Oya National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/A_Hill_in_Maduru_Oya.jpg/960px-A_Hill_in_Maduru_Oya.jpg,,,
gal_oya_national_park_1.jpg,Gal Oya National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Gal_Oya_National_Park_%28Senanayake_Samudhraya%29.JPG/960px-Gal_Oya_National_Park_%28Senanayake_Samudhraya%29.JPG,,,
sinharaja_forest_reserve_1.jpg,Sinharaja Forest Reserve,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/SL_Sinharaja_Forest_asv2020-01_img15.jpg/960px-SL_Sinharaja_Forest_asv2020-01_img15.jpg,,,
gangaramaya_temple_1.jpg,Gangaramaya Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gangaramaya_Temple.JPG/960px-Gangaramaya_Temple.JPG,,,
